1," I didn't expect much from the MPOW E-Clip if I'm honest (Model: MCM14). I've purchased simple car mounts like this for years and I normally just buy the cheapest one I can find on Amazon or eBay.I went for the E-Clip as it was one of the best selling models. It didn't disappoint. I love how quickly and how easily the mount extends to accommodate a smartphone. I was able to put my 5.7"" Google Nexus 6P phone in with ease and there was still lots of room left.The mount feels secure so I do not expect my smartphone to ever pop out unexpectedly.Don't let its simple design fool you. This is a quality item that should last you for years.",5
2," I have previously owned two shavers: a rotary one and a foil one. A foil shaves closer than a rotary, but if you are the swarthy type like me, skipping a shave for more than 2 days leaves you with bristles too long for a foil to cut, so the fall back is the rotary. The rotary can cut longer bristles, but never cuts as close as a foil.With the 9040s the distinction blurs. Although it is a foil shaver, it can handle long growth with no problems whatsoever (so I can bin the rotary).  In fact, I can bin any other shaver I have ever owned (about 3 so far) and also my manual shaver.The 9040 not only gives me the closest dry shave I have ever got from any electronic shaver, it has also done it in less than a minute (my current foil shaver, a Braun Series 3: 340s - takes about 2-3 mins).Best of all, the 9040 never once pulled my hair or felt anything other than smooth, even with 4 days worth of growth.It is actually the best razor I've ever used.Bad points? Well not many. It is heavier, larger and nosier than the 340s (which is a best seller and a more usual size and weight), but you expect that because the 9040 is clearly more powerful. It is also expensive. Perhaps less so for me when I consider that it is replacing both a foil and rotary razor, but still on the steep side. Oh, and the box contents seems a little sparse for what is a top end model.Overall though, any issues are minor. The 9040s is what it purports to be: an expensive shaver but also one of the best you can buy.",5
3," I received this Razor to review. I've tested quite a few in the past. This one shouts out ""different league"" as soon as you open the box. It is just a lovely well-crafted bit of engineering. It's smart, elegant and very likeable. So I created a video to honour it with a bit more effort on my part.",5
4,4 year old loves this tablet as do two old kids!,5
5,"5 Stars. Almost 4 but I couldn't bring myself to lower the score just because it doesn't come with a protective foil guard.I have had more than my fair share of razors now over the years. I tend to judge all of them by the Merkur I use on the weekend. If you know what that is, then you know the high standard I have.So, worst electric shavers I've had are Phillips.The circular cut always seems to promote ingrowing hairs, I don't know why, but there it is.Remington: 'As close a shave as your razor or your money back',..well, they were never that good, but not bad, and one of my favorites until I tried the Braun 340s. An absolute gem of a razor. It would cut through 4 days growth like a hot knife through butter. I charged it once a week and never had any issues with it running out on me. If there was one downside to it, like a lot of shavers, it struggled slightly with very short growth.So, now I've been trying the new Series 9 9040s, wet and dry shaver.First thing to notice, it feels big, very big and yet is only slightly larger than the 340. I think it's the head, easily an inch wide, that gives it this feel.I was slightly skeptical the head was too large, would an inch of cutter be too large to get into all the tricky bits...needn't have worried.This is another gem of a shaver from Braun. And at currently almost 5 times the price of the old 340s it would need to be.It takes over from where that razor left off and effortlessly handles any size of growth.You have in the head 2 banks of foil cutters sandwiching a 'Hyper Lift & Cut trimmer' (specifically designed for the neck and chin) and a 'Direct & Cut trimmer' (designed for hair that grows in different directions. It really is a formidable array of cutting equipment to put against your face, but the swivel head and rocking foils makes it very pleasurable. All the problem areas of hair (those bits that you seem to have to go over 3 times) get sorted once!Oh, it's water tight to 5 meters! This made me laugh, as who is going to shave underwater...and then I wondered if anyone had ever dropped one in the bath or down the pan?Shaving seems to be over so quickly now.This really is the best shaver I've come across that gives the Merkur a run for its money.Anything else?You get a small brush. I thought it interesting that this time round they warn you not to use it on the head mechanism, only on the base area, use water for the head.A small bottle of oil for the sandwich filler if you wash the razor a lot when cleaning.You also get a hard-ish carry case, which is nice to lay the shaver when not in use, and your bog standard lead. It's the same as my old Braun lead, so I didn't even bother unwrapping that.The manual shows you that this is the poor relative in the Series 9 range. If locking heads, trimmers, battery bars weren't enough, the higher models give you digital readouts from 9 mins to empty battery as well as a cleaning station that makes use of its sonic ability!Lastly...the box. Now that is slightly strange, but again, I'm not marking this product down for that. The box opens up backwards? You sort of get to it by opening up the back panel, it doesn't feel right and I turned it over an over, but there really is no other way into it.",5
6,5th one I've bought...great tablet!,5
7,"6 year old daughter loves it and so do i! So much entertainment choices for tv series, movies, books, games, etcAll the parental restrictions are brilliant and you can set time of use for kids e.g no access after 7pm.The protective cover does the job and makes it comfortable to hold.",5
8,7.60 seems a bit expensive for what seems a little bit of plastic.  But.  And it’s a big but.  It works.  Well.  I have used and broke a lot of cheap phone holders.  This one feels good and it works well.  The movements are smooth.  Some of the mechanism is metal which is good compared to the cheap plastic alternatives.  Only time will tell but I like it.  So much I bought another for my wife’s car.,5
9,A bit expensive bin bags do just as good of job. But would reccomend and would buy again,5
10,"A bit of an impulse buy for a Christmas present, but absolutely delighted with the earrings.  Very pretty and sparkly and sure to look impressive when worn.",5
11,"A bit tricky to fit at first - the men in the house still can't manage - once its up to cuts out about 95-99% of light so really does do the job, just get a girl to fit it!",5
12,A brilliant Amazon product - grand daughter has so much to enjoy from it!,5
13,"A brilliant product if you need to add a blackout blind to a room. It has resolved the problem of blacking out a room with patio doors as the blind just covers the area and prevents the light from coming in. Also great for travelling. They do need to be stuck using the suckers to glass though, if you try and stick them to uPVC or wooden frames then they fall off. It's easiest to dampen the sucker before pressing it against the glass as this creates a firmer attachment",5
14,"A fantastic, close and comfortable shave.  Much better than the previous 7000 series.  The cleaning/charging station amazingly also works as advertised and leaves the razor like new, which was a pleasant surprise as manually cleaning an electric razor is always a bit hit and miss.Only downside so far is the rather basic side trimmer which could have been far better executed in the design if it was sharper, more efficient and positioned at a better angle for use.",5
15,"a first class shaver, well recommended, thank you.",5
16,"A god send! Wish I'd purchased sooner! My little one used to take about an hour or mor to settle of a summer evening, now he's asleep within about 15mins. It says to stick to windows but it works just as well on the plastic fascias also providing even more black out. Great sizing to fit all windows!",5
17,A good 6 months in this is absolutely solid. Works like new and grips my mobile (Galaxy S8+) perfectly. Highly recommended,5
18,A good alternative to a windscreen mount!,5
19,"A good product  I am sure it helps a learning difficulties man with a longer sleep,, as he can't tell the time, and this time of the year he thinks its time to get up when it gets light at 4am. \thanks very much, quick delivery,.",5
20,A great all round device which is suitable for my daughter and also is great for myself.Wonderful value for money and a good bit of functional kit.,5
21,"a great idea, use it all the time.",5
22,A great product by amazon. I highly recommend you purchase it. You won't be disappointed.,5
23,A high quality well made phone mount at a great price. Ideal for what we needed for our car,5
24,A little heavy but the best razer I have ever bought,5
25,a MAZE I ing!!!,5
26,A much loved and not so well cared for gift for the children.,5
27,a MUST for summertime,5
28,a must have!,5
29,A must have. Saved us in times of need e.g. when the 2 year old is attempting to destroy the house just as we are about to leave to go out.,5
30,A present for the grandson he loves it goes on holidays.keeps him happy,5
31,"A quality shaver, this is the updated one to the one I previously owned. It gives a close smooth shave and the battery life is excellent. I have recommended it to family and friends. It is expensive but you can see where the money has been spent",5
32,A stocking filler that went down well.  Looked great and passed the first wear tests with no problems.,5
33,"A super shaver, but what more do you expect",5
34,"A terrific shaver. I use it wet with shaving gel and get a close and very gentle shave.  And it's impressively quick.This is my second Series 9. I had one without a cleaning station but the battery stopped holding its charge inside the warranty period. Despite the problem, I was impressed enough to buy another - this time with the cleaning station, which works well.I recently bought a Braun Series 7 for traveling.  I find the larger head on the Series 9 follows the contours of my face a little better but in every other way, the Series 7 feels just as good to me.",5
35,A^,5
36,A+,5
37,A+++,5
38,"Absolutely amazing - fits well, secure and pretty",5
39,Absolutely amazing my 6 year old loves it and it protects the game well etc.,5
40,Absolutely amazing thank you,5
41,Absolutely amazing!!! A godsend for my little grandchildren as it keeps them occupied.... I would definitely recommend this to everyone... it’s easy for the little ones to get used to using it as well as it’s safe for them to hold,5
42,Absolutely AMAZING!!!!!! The best £22 we’ve spent! I’ve just put it up in my sons room (really easy and suction cups stick as soon as you put them on the window) and it is pitch black. No more sneaking up to play or read for him at night and no more 5 o’clock wake ups!!!! Fantastic product and one which I would definitely recommend!,5
43,Absolutely beautiful earrings and there really comfortable,5
44,"Absolutely beautiful, exactly as picture",5
45,Absolutely beautiful! Mother loved them,5
46,Absolutely brilliant and very strong case. Still in good condition after 2 years. Brought this for my 6yr old son and daughter. Once accidentally broke charging port and Amazon replaced it next day.,5
47,Absolutely brilliant concept. Velcro and suckers very easy to put up and take down.,5
48,"Absolutely brilliant tablet, great videos and apps for children of all ages. A must buy",5
49,"Absolutely brilliant, wish I'd found this for my first child. Made the room so dark we put a light on in daylight so brilliant for stopping 5am summer wake ups! Also good for use with home movie projectors :)",5
50,"Absolutely brilliant! There are suckers on all sides so you can literally have it any which way you want and the velcro is evenly spaced and works well if you need to make it smaller to fit the window. I have bought 3 so each room can have one, especially when we go on holiday xx",5
51,Absolutely brilliant! Thoroughly recommend,5
52,Absolutely brilliant. I wish I'd bought one years ago. My room is completely dark. It's a big size - plenty big enough for our large bedroom window. As a night shift worker I can't tell you how happy I am with this purchase. Highly recommended.,5
53,"Absolutely excellent product. I've also used the magnetic one, which is equally brilliant.",5
54,"absolutely fantastic 1 for making bedroom completely dark and 2 for helping to cool it down, dont know why i didnt get one sooner",5
55,absolutely fantastic for the money! very pretty earings!,5
56,"Absolutely fantastic tablet for my 6 year old and also gonna buy for my younger daughter as so impressed! We had an iPad for the kids which was only used for YouTube and games, she now has her own tablet which has YouTube, netflix and all the games she loves and best of all I can download movies before we go out and she can watch without Wi-fi! Gonna be great on car journeys! Would highly recommend!!!!!",5
57,Absolutely first class.  Delighted with earrings,5
58,Absolutely gorgeous !,5
59,Absolutely gorgeous. They look really nice wearing them,5
60,"Absolutely great, holds study in my Peugeot 207 would recommend.",5
61,"Absolutely love it, perfect for my 6 year old. Love the security, it is all age related and cannot access anything that is inappropriate. So many fun/learning aspects. I have an iPad for my other child but I am totally smitten with the Fire HD that I want to purchase another for my other child.",5
62,"Absolutely love it, three kids all set up with personalised accounts and parental controls so they can’t do anything they shouldn’t!",5
63,"Absolutely love it! As does our 5 yr old! Super tough, good battery life, easy to use!",5
64,Absolutely love these earrings.  Small in size but well made and extremely comfortable to wear.  Had lots of comments about how sparkly they are.  Well packaged and delivered on time. Will purchase similar items again.,5
65,"Absolutely love this! We bought one each for our 7 & 2 year old ahead of a journey. Wow! I’ve never looked at the tablet seriously before as I didn’t realise you could get access to YouTube & Netflix etc!  But I was wrong! It’s like an iPad, only more child friendly! The games are great too! My 7 year old thinks it’s cool & my 2 year old is starting to navigate her way around! It’s so light & the case is so robust. Just wish we’d bought it sooner fir my 7 year old because he loves it!",5
66,absolutely love this. Daughter loves it and will grow with her,5
67,Absolutely outstanding keeps my little boy busy and excellent learning games to.,5
68,Absolutely perfect for my toddler. Loads of books and apps which help his learning and development. Also great for car journeys to keep him entertained. Thoroughly impressed with the quality considering the price.,5
69,"Absolutely perfect! Installed within minutes. A blackout blind, that actually does what it's suppose to do. HIGHLY recommend this blind.",5
70,"Absolutely stunned with the performance of this razor. The ease in which it cuts is fantastic and it's at least twice as quick as my previous Braun. The razor even speeds up as it encounters longer/thicker stubble, amazing power.The charging/cleaning station is excellent. When I removed the razor after it had finished, it smelt great and almost surgically clean. I can't stress just how good this razor is. Might seem expensive, but I can now appreciate all the technology that's gone into this. I've even used it for my shaven head with a 3 day growth. Went through it with ease. Now that's the test for me. Without doubt the best razor our there.",5
71,Absolutely superb.  Our 6 yr old daughter loves it and it's so well set up she can find her way around with no supervision.The content is curated and age appropriate so we don't need to worry what she's looking at.,5
72,"absolutely the best electric razor I have experienced in my 96 years on the planet, Victor.",5
73,Absolutely the best product for making your bedroom dark. Tried lots of other products but the light kept coming in. I work nights they have helped me sleep so much better in the day. Excellant product would highly recommend.,5
74,Actually a great wee product,5
